party,AGH_WK,registered_voters,predicted_share,lo,hi
Sonstige,0907,31416,11.4,11.2,11.6
FDP,0907,31416,3.4,3.2,3.5
AFD,1001,31227,25.0,23.6,26.2
LINKE,1001,31227,22.8,22.7,23.3
CDU,1001,31227,21.1,19.8,21.3
Sonstige,1001,31227,16.1,15.7,16.5
SPD,1001,31227,11.5,11.2,11.6
GRUENE,1001,31227,5.2,4.7,5.7
FDP,1001,31227,2.4,2.2,2.5
CDU,1002,33100,24.2,21.8,24.4
LINKE,1002,33100,23.5,23.4,23.9
AFD,1002,33100,19.9,19.0,21.1
Sonstige,1002,33100,14.2,13.9,14.5
SPD,1002,33100,12.7,12.4,12.9
GRUENE,1002,33100,5.0,4.5,5.4
FDP,1002,33100,2.6,2.4,2.8
AFD,1003,33308,24.4,23.5,25.3
LINKE,1003,33308,22.0,21.8,22.4
CDU,1003,33308,21.2,19.7,21.4
Sonstige,1003,33308,16.5,16.2,16.9
SPD,1003,33308,11.2,10.9,11.4
GRUENE,1003,33308,5.9,5.2,6.3
FDP,1003,33308,2.5,2.3,2.6
CDU,1004,34702,29.9,29.3,30.2
LINKE,1004,34702,17.7,17.6,18.0
AFD,1004,34702,15.7,15.4,16.2
Sonstige,1004,34702,11.4,11.2,11.9
SPD,1004,34702,11.3,11.0,11.4
GRUENE,1004,34702,7.3,7.0,7.6
FDP,1004,34702,2.9,2.7,3.1
CDU,1005,33666,33.9,33.1,34.2
AFD,1005,33666,15.7,15.4,16.2
LINKE,1005,33666,15.6,15.4,15.9
SPD,1005,33666,11.8,11.6,11.9
Sonstige,1005,33666,10.3,10.1,10.6
GRUENE,1005,33666,8.3,8.0,8.5
FDP,1005,33666,3.6,3.4,3.7
CDU,1006,30837,26.8,25.6,27.4
AFD,1006,30837,20.0,18.9,21.2
LINKE,1006,30837,19.6,19.4,20.0
Sonstige,1006,30837,13.8,13.5,14.1
SPD,1006,30837,11.4,11.1,11.5
GRUENE,1006,30837,5.7,4.9,6.1
FDP,1006,30837,2.9,2.7,2.9
CDU,1101,33609,28.7,28.5,29.9
AFD,1101,33609,21.6,20.6,22.8
LINKE,1101,33609,21.0,20.9,21.4
Sonstige,1101,33609,14.4,14.0,14.7
SPD,1101,33609,11.3,11.1,11.5
GRUENE,1101,33609,4.5,3.7,5.0
FDP,1101,33609,2.7,2.5,2.8
CDU,1102,32709,27.5,27.4,28.5
LINKE,1102,32709,22.1,22.0,22.5
AFD,1102,32709,17.3,16.6,18.3
Sonstige,1102,32709,12.7,12.5,13.1
SPD,1102,32709,11.2,11.0,11.3
GRUENE,1102,32709,8.7,8.3,9.1
FDP,1102,32709,3.0,2.7,3.1
LINKE,1103,33756,25.8,25.7,26.3
CDU,1103,33756,18.4,16.6,18.6
AFD,1103,33756,14.8,14.7,15.2
Sonstige,1103,33756,14.1,13.7,14.9
SPD,1103,33756,12.6,12.4,12.8
GRUENE,1103,33756,11.2,10.9,11.4
FDP,1103,33756,2.6,2.4,2.7
LINKE,1104,33234,26.9,26.8,27.4
GRUENE,1104,33234,19.9,19.6,20.1
CDU,1104,33234,14.3,12.6,14.4
Sonstige,1104,33234,12.9,12.7,13.5
SPD,1104,33234,11.4,11.2,11.5
AFD,1104,33234,11.2,11.0,11.4
FDP,1104,33234,2.6,2.3,2.7
LINKE,1105,33134,26.2,26.1,26.7
GRUENE,1105,33134,18.0,17.7,18.2
CDU,1105,33134,15.7,14.9,15.9
Sonstige,1105,33134,14.4,14.2,14.8
AFD,1105,33134,11.9,11.7,12.2
SPD,1105,33134,10.8,10.6,10.9
FDP,1105,33134,2.5,2.2,2.7
LINKE,1106,30935,23.4,23.3,23.8
CDU,1106,30935,19.6,17.1,19.7
GRUENE,1106,30935,17.8,17.5,17.9
Sonstige,1106,30935,12.8,12.3,13.5
AFD,1106,30935,12.4,12.0,12.7
SPD,1106,30935,11.4,11.2,11.5
FDP,1106,30935,3.0,2.7,3.2
CDU,1201,27733,26.4,26.0,27.0
LINKE,1201,27733,14.1,14.0,14.4
AFD,1201,27733,14.1,13.5,14.7
GRUENE,1201,27733,13.9,13.7,14.2
SPD,1201,27733,12.9,12.7,13.0
Sonstige,1201,27733,11.8,11.6,11.9
FDP,1201,27733,3.4,3.2,3.4
CDU,1202,28139,30.4,30.2,31.5
AFD,1202,28139,16.6,16.1,17.4
SPD,1202,28139,13.7,13.5,13.8
Sonstige,1202,28139,11.3,11.1,11.4
GRUENE,1202,28139,10.9,10.7,11.1
LINKE,1202,28139,10.5,10.4,10.7
FDP,1202,28139,3.8,3.6,3.8
CDU,1203,29915,34.2,34.0,35.6
SPD,1203,29915,13.7,13.4,13.8
GRUENE,1203,29915,13.2,13.1,13.2
AFD,1203,29915,11.9,11.8,12.3
Sonstige,1203,29915,8.3,8.1,8.4
LINKE,1203,29915,7.0,6.9,7.1
FDP,1203,29915,4.5,4.3,4.6
CDU,1204,33426,31.6,31.4,33.1
SPD,1204,33426,14.0,13.8,14.1
AFD,1204,33426,13.4,12.9,14.0
GRUENE,1204,33426,13.1,12.9,13.2
Sonstige,1204,33426,9.8,9.7,9.9
LINKE,1204,33426,9.1,9.0,9.2
FDP,1204,33426,4.2,4.0,4.3
CDU,1205,26572,31.7,31.2,33.2
AFD,1205,26572,15.3,14.7,15.9
SPD,1205,26572,12.8,12.5,12.9
Sonstige,1205,26572,9.5,9.3,9.7
LINKE,1205,26572,7.6,7.5,7.7
GRUENE,1205,26572,7.5,6.8,7.7
FDP,1205,26572,3.7,3.6,3.8
CDU,1206,27633,36.8,36.6,38.3
GRUENE,1206,27633,15.3,15.2,15.5
SPD,1206,27633,13.8,13.5,13.9
AFD,1206,27633,10.7,10.4,10.9
LINKE,1206,27633,6.8,6.7,7.0
Sonstige,1206,27633,6.7,6.6,6.9
FDP,1206,27633,5.4,5.2,5.4
